Sampling date	Depth water [m]	CSC flag	Sal	Temp [°C]	[HCO3]- [µmol/kg]	[CO3]2- [µmol/kg]	pH	AT [µmol/kg]	DIC [µmol/kg]	Omega Cal	Omega Arg	pCO2water_SST_wet [µatm]	fCO2water_SST_wet [µatm]
2008-09-29T00:00:00	50	15	37.94000	15.9900	1965.6	242.8		2565.5	2219.3	5.6	3.6	305.8	304.8
2008-10-07T00:00:00	1	15	38.28000	19.6800	1972.3	240.9		2565.9	2224.9	5.6	3.7	368.7	367.4
2008-10-07T00:00:00	50	15	37.95000	16.9100	1993.8	221.6		2542.0	2227.8	5.1	3.3	359.4	358.2
2008-10-14T00:00:00	1	15	38.30000	20.2900	1971.9	241.9		2567.9	2225.6	5.6	3.7	377.0	375.7
2008-10-14T00:00:00	50	15	38.10000	15.6600	2006.2	217.5		2545.1	2236.3	5.0	3.2	351.7	350.4
2008-10-21T00:00:00	1	15	38.36000	21.6400	1978.1	240.5		2569.8	2230.9	5.6	3.7	405.3	403.9
2008-10-21T00:00:00	50	15	37.94000	15.7800	2001.0	224.9		2557.3	2238.0	5.2	3.4	339.1	337.9
2008-10-28T00:00:00	1	15	38.36000	21.6400	1959.0	248.2		2569.7	2218.8	5.8	3.8	385.1	383.8
2008-10-28T00:00:00	50	15	37.94000	15.7800	1996.2	227.6		2559.1	2235.7	5.3	3.4	333.5	332.3
2008-11-06T00:00:00	1	15	38.12000	18.9500	1965.3	239.4		2555.6	2216.3	5.6	3.6	355.6	354.4
2008-11-06T00:00:00	50	15	38.13000	18.8300	1966.4	239.2		2556.3	2217.1	5.5	3.6	354.0	352.7
2008-11-10T00:00:00	1	15	38.00000	18.6700	1983.3	233.4		2558.5	2228.7	5.5	3.5	366.0	364.7
2008-11-10T00:00:00	50	15	38.08000	18.7100	1983.1	233.3		2558.5	2228.5	5.4	3.5	366.8	365.5
2008-11-20T00:00:00	1	15	38.12000	18.4500	1984.5	232.8		2558.5	2229.3	5.4	3.5	364.7	363.5
2008-11-20T00:00:00	50	15	38.12000	18.4500	1975.3	235.7		2556.9	2222.8	5.5	3.5	356.3	355.1
2008-11-25T00:00:00	1	15	38.09000	17.9600	1979.3	234.3		2557.4	2225.5	5.5	3.5	352.5	351.3
2008-11-25T00:00:00	50	15	38.10000	17.9500	1984.0	231.6		2555.6	2227.6	5.4	3.5	357.8	356.5
2008-12-02T00:00:00	1	15	38.07000	16.6900	1984.8	227.8		2548.0	2224.6	5.3	3.4	344.4	343.1
2008-12-02T00:00:00	50	15	38.07000	16.7200	1987.9	226.7		2548.4	2226.7	5.2	3.4	347.2	346.0
2008-12-09T00:00:00	1	15	38.06000	16.2600	1996.0	225.1		2552.5	2233.3	5.3	3.4	345.7	344.5
2008-12-09T00:00:00	50	15	38.07000	16.2300	1995.2	225.5		2552.9	2232.8	5.2	3.4	344.0	342.7
2008-12-17T00:00:00	1	15	37.44000	15.2100	2003.3	217.0		2539.8	2232.8	5.1	3.3	340.3	339.1
2008-12-17T00:00:00	50	15	37.54000	15.4000	1999.8	218.3		2539.7	2230.5	5.1	3.3	340.2	338.9
2008-12-22T00:00:00	1	15	37.62000	15.2100	2010.9	217.5		2548.7	2241.0	5.1	3.3	343.3	342.1
2008-12-22T00:00:00	50	15	37.88000	15.6900	2003.8	220.6		2549.4	2236.8	5.1	3.3	344.8	343.6
2008-12-30T00:00:00	1												
2008-12-30T00:00:00	50												
2009-01-06T00:00:00	1	15	38.04000	14.5700	2010.7	220.6		2557.0	2243.6	5.1	3.3	331.6	330.4
2009-01-06T00:00:00	50	15	38.04000	14.6200	2024.2	215.3		2557.4	2252.3	5.0	3.2	344.6	343.4
2009-01-14T00:00:00	1	15	38.06000	14.3600	2028.5	215.3		2561.6	2256.7	5.0	3.2	342.8	341.5
2009-01-14T00:00:00	50	15	38.06000	14.3500	2024.8	214.2		2555.7	2251.9	5.0	3.2	342.6	341.3
2009-01-22T00:00:00	1	15	38.04000	14.1500	2028.6	213.1		2556.5	2254.7	5.0	3.2	342.9	341.6
2009-01-22T00:00:00	50	15	38.04000	14.1400	2025.8	213.4		2554.8	2252.1	4.9	3.2	340.7	339.5
2009-01-27T00:00:00	1	15	38.02000	13.9400	2026.5	213.2		2555.0	2252.6	5.0	3.2	338.7	337.4
2009-01-27T00:00:00	50	15	38.02000	13.9400	2026.5	213.6		2556.5	2252.9	4.9	3.2	337.4	336.2
2009-02-03T00:00:00	1	15	37.99000	13.8700	2019.2	216.4		2555.5	2248.1	5.1	3.2	330.0	328.8
2009-02-03T00:00:00	50	15	38.00000	13.8700	2018.5	216.9		2556.4	2247.9	5.0	3.2	328.5	327.3
2009-02-10T00:00:00	1	15	37.51000	13.1200	2024.2	214.6		2555.8	2251.3	5.0	3.2	320.0	318.8
2009-02-10T00:00:00	50	15	38.00000	13.9200	2017.2	216.0		2552.8	2245.7	5.0	3.2	330.3	329.1
2009-02-17T00:00:00	1	15	37.96000	13.6500	2018.4	215.2		2552.1	2246.2	5.0	3.2	328.0	326.8
2009-02-17T00:00:00	50	15	37.97000	13.6500	2022.6	213.2		2551.5	2248.5	4.9	3.2	332.1	330.9
2009-02-24T00:00:00	1	15	37.90000	13.4800	2024.9	211.9		2550.4	2249.6	5.0	3.2	332.2	331.0
2009-02-24T00:00:00	50	15	37.94000	13.5500	2020.6	213.0		2548.9	2246.2	4.9	3.2	330.0	328.8
